"id","parent_id:id","code","name"
"nace_25_210000000000001","nace_25_199999999999999","25.210000000000001","Manufacture of central heating radiators and boilers"
"nace_25_289999999999999","nace_25_199999999999999","25.289999999999999","Manufacture of other tanks, reservoirs and containers of metal"
"nace_25_300000000000001","nace_25","25.300000000000001","Manufacture of steam generators, except central heating hot water boilers"
"nace_25_300000000000001","nace_25_300000000000001","25.300000000000001","Manufacture of steam generators, except central heating hot water boilers"
"nace_25_399999999999999","nace_25","25.399999999999999","Manufacture of weapons and ammunition"
"nace_25_399999999999999","nace_25_399999999999999","25.399999999999999","Manufacture of weapons and ammunition"
"nace_25_5","nace_25","25.5","Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
"nace_25_5","nace_25_5","25.5","Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
"nace_25_600000000000001","nace_25","25.600000000000001","Treatment and coating of metals; machining"
"nace_25_609999999999999","nace_25_600000000000001","25.609999999999999","Treatment and coating of metals"
"nace_25_620000000000001","nace_25_600000000000001","25.620000000000001","Machining"
"nace_25_699999999999999","nace_25","25.699999999999999","Manufacture of cutlery, tools and general hardware"
"nace_25_710000000000001","nace_25_699999999999999","25.710000000000001","Manufacture of cutlery"
"nace_25_719999999999999","nace_25_699999999999999","25.719999999999999","Manufacture of locks and hinges"
"nace_25_73","nace_25_699999999999999","25.73","Manufacture of tools"
"nace_25_899999999999999","nace_25","25.899999999999999","Manufacture of other fabricated metal products"
"nace_25_91","nace_25_899999999999999","25.91","Manufacture of steel drums and similar containers"
"nace_25_920000000000002","nace_25_899999999999999","25.920000000000002","Manufacture of light metal packaging "
"nace_25_93","nace_25_899999999999999","25.93","Manufacture of wire products, chain and springs"
"nace_25_940000000000001","nace_25_899999999999999","25.940000000000001","Manufacture of fasteners and screw machine products"
"nace_25_989999999999998","nace_25_899999999999999","25.989999999999998","Manufacture of other fabricated metal products n.e.c."
"nace_26","nace_C","26","Manufacture of computer, electronic and optical products"
"nace_26_100000000000001","nace_26","26.100000000000001","Manufacture of electronic components and boards"
"nace_26_109999999999999","nace_26_100000000000001","26.109999999999999","Manufacture of electronic components"
"nace_26_120000000000001","nace_26_100000000000001","26.120000000000001","Manufacture of loaded electronic boards"
"nace_26_199999999999999","nace_26","26.199999999999999","Manufacture of computers and peripheral equipment"
"nace_26_199999999999999","nace_26_199999999999999","26.199999999999999","Manufacture of computers and peripheral equipment"
"nace_26_300000000000001","nace_26","26.300000000000001","Manufacture of communication equipment"
"nace_26_300000000000001","nace_26_300000000000001","26.300000000000001","Manufacture of communication equipment"
"nace_26_399999999999999","nace_26","26.399999999999999","Manufacture of consumer electronics"
"nace_26_399999999999999","nace_26_399999999999999","26.399999999999999","Manufacture of consumer electronics"
"nace_26_5","nace_26","26.5","Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks"
"nace_26_510000000000002","nace_26_5","26.510000000000002","Manufacture of instruments and appliances for measuring, testing and navigation"
"nace_26_52","nace_26_5","26.52","Manufacture of watches and clocks"
"nace_26_600000000000001","nace_26","26.600000000000001","Manufacture of irradiation, electromedical and electrotherapeutic equipment"
"nace_26_600000000000001","nace_26_600000000000001","26.600000000000001","Manufacture of irradiation, electromedical and electrotherapeutic equipment"
